Date,Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season,Production
9/28/2020,20,21,Wind,272,Monday,September,Fall,4228
2/12/2023,15,16,Solar,43,Sunday,February,Winter,5718
11/23/2023,2,3,Wind,327,Thursday,November,Fall,2948
12/12/2024,19,20,Wind,347,Thursday,December,Winter,3528
5/11/2025,1,2,Wind,131,Sunday,May,Spring,7504
5/30/2024,19,20,Wind,151,Thursday,May,Spring,8561
7/29/2024,16,17,Solar,211,Monday,July,Summer,8215
8/27/2024,23,0,Wind,240,Tuesday,August,Summer,3000
11/13/2021,9,10,Wind,317,Saturday,November,Fall,5084
9/20/2021,19,20,Wind,263,Monday,September,Fall,3112
2/13/2023,12,13,Solar,44,Monday,February,Winter,6722
11/14/2020,2,3,Wind,319,Saturday,November,Fall,4362
1/29/2025,0,1,Wind,29,Wednesday,January,Winter,18199
3/2/2022,4,5,Wind,61,Wednesday,March,Spring,2961
6/6/2025,16,17,Wind,157,Friday,June,Summer,7448
7/15/2025,2,3,Wind,196,Tuesday,July,Summer,3144
5/15/2022,15,16,Solar,135,Sunday,May,Spring,9252
6/6/2024,16,17,Solar,158,Thursday,June,Summer,7935
12/1/2020,6,7,Wind,336,Tuesday,December,Winter,7577
2/1/2020,20,21,Wind,32,Saturday,February,Winter,10073
12/5/2022,7,8,Wind,339,Monday,December,Winter,723
11/2/2021,17,18,Wind,306,Tuesday,November,Fall,1723
3/30/2024,15,16,Solar,90,Saturday,March,Spring,7864
5/7/2020,14,15,Solar,128,Thursday,May,Spring,4403
7/22/2024,4,5,Wind,204,Monday,July,Summer,3323
1/23/2022,23,0,Wind,23,Sunday,January,Winter,3658
4/16/2024,8,9,Wind,107,Tuesday,April,Spring,14410
2/2/2021,17,18,Wind,33,Tuesday,February,Winter,9228
4/6/2025,12,13,Solar,96,Sunday,April,Spring,8484
10/24/2025,20,21,Wind,297,Friday,October,Fall,12993
9/12/2024,19,20,Wind,256,Thursday,September,Fall,4668
6/1/2021,20,21,Wind,152,Tuesday,June,Summer,3220
6/10/2022,4,5,Wind,161,Friday,June,Summer,2337
5/12/2024,4,5,Wind,133,Sunday,May,Spring,3727
11/1/2025,1,2,Wind,305,Saturday,November,Fall,13837
5/29/2022,9,10,Solar,149,Sunday,May,Spring,7338
8/30/2023,18,19,Wind,242,Wednesday,August,Summer,7641
4/29/2023,20,21,Wind,119,Saturday,April,Spring,2453
5/22/2022,15,16,Solar,142,Sunday,May,Spring,5188
8/12/2022,12,13,Solar,224,Friday,August,Summer,8910
8/31/2020,13,14,Solar,244,Monday,August,Summer,4731
9/17/2020,1,2,Wind,261,Thursday,September,Fall,5365
5/13/2023,10,11,Solar,133,Saturday,May,Spring,7155
10/16/2021,15,16,Solar,289,Saturday,October,Fall,4121
1/4/2022,8,9,Wind,4,Tuesday,January,Winter,6398
11/10/2024,22,23,Wind,315,Sunday,November,Fall,2532
4/25/2022,21,22,Wind,115,Monday,April,Spring,2493
5/14/2021,11,12,Wind,134,Friday,May,Spring,7152
10/14/2020,8,9,Wind,288,Wednesday,October,Fall,3082
9/29/2021,13,14,Wind,272,Wednesday,September,Fall,11398
2/2/2020,2,3,Wind,33,Sunday,February,Winter,6412
7/10/2021,19,20,Wind,191,Saturday,July,Summer,3038
6/9/2022,0,1,Wind,160,Thursday,June,Summer,6305
12/4/2021,2,3,Wind,338,Saturday,December,Winter,8913
8/5/2020,4,5,Wind,218,Wednesday,August,Summer,1018
1/22/2020,16,17,Wind,22,Wednesday,January,Winter,3930
2/21/2024,0,1,Wind,52,Wednesday,February,Winter,3618
1/1/2021,12,13,Solar,1,Friday,January,Winter,1994
7/20/2021,22,23,Wind,201,Tuesday,July,Summer,3054
7/9/2025,11,12,Solar,190,Wednesday,July,Summer,9719
12/8/2024,6,7,Wind,343,Sunday,December,Winter,16946
10/21/2024,20,21,Wind,295,Monday,October,Fall,4621
7/3/2025,13,14,Solar,184,Thursday,July,Summer,9835
6/3/2022,8,9,Wind,154,Friday,June,Summer,3026
6/15/2022,13,14,Solar,166,Wednesday,June,Summer,6208
3/18/2022,5,6,Wind,77,Friday,March,Spring,8159
3/9/2021,8,9,Wind,68,Tuesday,March,Spring,2948
2/17/2022,19,20,Wind,48,Thursday,February,Winter,8507
11/11/2021,5,6,Wind,315,Thursday,November,Fall,982
6/6/2020,1,2,Wind,158,Saturday,June,Summer,5766
10/24/2020,8,9,Wind,298,Saturday,October,Fall,8585
9/18/2023,9,10,Wind,261,Monday,September,Fall,8347
11/24/2025,7,8,Wind,328,Monday,November,Fall,8309
9/9/2021,1,2,Wind,252,Thursday,September,Fall,2685
9/25/2025,18,19,Wind,268,Thursday,September,Fall,3302
5/12/2021,17,18,Wind,132,Wednesday,May,Spring,4435
6/2/2022,9,10,Solar,153,Thursday,June,Summer,4378
1/14/2025,15,16,Solar,14,Tuesday,January,Winter,4353
3/22/2023,14,15,Wind,81,Wednesday,March,Spring,15456
7/7/2024,19,20,Wind,189,Sunday,July,Summer,4892
1/28/2021,4,5,Wind,28,Thursday,January,Winter,9675
2/12/2025,1,2,Wind,43,Wednesday,February,Winter,2685
8/25/2021,14,15,Solar,237,Wednesday,August,Summer,9454
7/17/2023,6,7,Wind,198,Monday,July,Summer,2269
6/25/2025,13,14,Solar,176,Wednesday,June,Summer,9397
3/3/2021,9,10,Wind,62,Wednesday,March,Spring,1845
6/22/2021,14,15,Wind,173,Tuesday,June,Summer,6749
3/19/2025,13,14,Solar,78,Wednesday,March,Spring,13786
5/31/2020,19,20,Wind,152,Sunday,May,Spring,5250
2/21/2020,16,17,Wind,52,Friday,February,Winter,7148
6/4/2023,8,9,Wind,155,Sunday,June,Summer,4706
3/3/2025,18,19,Wind,62,Monday,March,Spring,2282
8/17/2025,12,13,Solar,229,Sunday,August,Summer,11455
1/3/2020,21,22,Wind,3,Friday,January,Winter,4570
5/19/2023,18,19,Wind,139,Friday,May,Spring,8236
4/3/2021,5,6,Wind,93,Saturday,April,Spring,7508
7/16/2025,12,13,Solar,197,Wednesday,July,Summer,16160
6/8/2024,5,6,Wind,160,Saturday,June,Summer,2141
9/29/2022,15,16,Solar,272,Thursday,September,Fall,3999
9/19/2024,8,9,Wind,263,Thursday,September,Fall,8855
5/23/2021,20,21,Wind,143,Sunday,May,Spring,6519
11/19/2024,2,3,Wind,324,Tuesday,November,Fall,16568
11/2/2025,12,13,Wind,306,Sunday,November,Fall,17124
3/6/2020,19,20,Wind,66,Friday,March,Spring,4409
9/24/2025,14,15,Wind,267,Wednesday,September,Fall,10617
3/6/2021,0,1,Wind,65,Saturday,March,Spring,6907
1/8/2024,1,2,Wind,8,Monday,January,Winter,11458
1/29/2024,9,10,Wind,29,Monday,January,Winter,8026
6/8/2024,21,22,Wind,160,Saturday,June,Summer,2990
9/5/2020,2,3,Wind,249,Saturday,September,Fall,2313
8/29/2023,16,17,Solar,241,Tuesday,August,Summer,6026
3/31/2023,21,22,Wind,90,Friday,March,Spring,17308
8/2/2021,12,13,Solar,214,Monday,August,Summer,4915
11/12/2021,19,20,Wind,316,Friday,November,Fall,4622
4/7/2024,13,14,Wind,98,Sunday,April,Spring,6534
8/23/2022,20,21,Wind,235,Tuesday,August,Summer,692
3/31/2025,12,13,Solar,90,Monday,March,Spring,12441
12/12/2024,23,0,Wind,347,Thursday,December,Winter,3205
10/30/2023,14,15,Wind,303,Monday,October,Fall,6382
7/13/2025,23,0,Wind,194,Sunday,July,Summer,2819
3/10/2020,16,17,Wind,70,Tuesday,March,Spring,12787
1/9/2021,3,4,Wind,9,Saturday,January,Winter,2353
4/2/2021,2,3,Wind,92,Friday,April,Spring,7071
11/24/2022,21,22,Wind,328,Thursday,November,Fall,10233
8/4/2025,4,5,Wind,216,Monday,August,Summer,2819
9/24/2021,10,11,Solar,267,Friday,September,Fall,3708
11/14/2020,14,15,Wind,319,Saturday,November,Fall,9092
2/12/2025,11,12,Solar,43,Wednesday,February,Winter,3734
11/18/2024,17,18,Wind,323,Monday,November,Fall,7419
8/25/2025,11,12,Solar,237,Monday,August,Summer,7160
11/11/2025,13,14,Wind,315,Tuesday,November,Fall,13901
9/15/2021,9,10,Wind,258,Wednesday,September,Fall,2675
8/21/2022,7,8,Wind,233,Sunday,August,Summer,794
11/14/2025,3,4,Wind,318,Friday,November,Fall,10916
4/30/2022,10,11,Solar,120,Saturday,April,Spring,6810
10/9/2022,3,4,Wind,282,Sunday,October,Fall,4965
4/26/2024,0,1,Wind,117,Friday,April,Spring,2294
3/12/2022,15,16,Wind,71,Saturday,March,Spring,9696
2/21/2023,12,13,Solar,52,Tuesday,February,Winter,4252
3/29/2023,11,12,Solar,88,Wednesday,March,Spring,8491
4/27/2021,22,23,Wind,117,Tuesday,April,Spring,2003
2/17/2020,4,5,Wind,48,Monday,February,Winter,6453
1/19/2024,23,0,Wind,19,Friday,January,Winter,3521
3/31/2025,7,8,Wind,90,Monday,March,Spring,5090
11/2/2021,12,13,Wind,306,Tuesday,November,Fall,6192
11/11/2022,7,8,Wind,315,Friday,November,Fall,3461
10/26/2021,12,13,Solar,299,Tuesday,October,Fall,5605
9/22/2022,19,20,Wind,265,Thursday,September,Fall,399
5/11/2025,13,14,Solar,131,Sunday,May,Spring,4563
1/28/2022,1,2,Wind,28,Friday,January,Winter,2439
11/20/2022,10,11,Wind,324,Sunday,November,Fall,9228
7/12/2022,1,2,Wind,193,Tuesday,July,Summer,4082
11/24/2024,12,13,Wind,329,Sunday,November,Fall,22929
2/1/2020,4,5,Wind,32,Saturday,February,Winter,9131
11/6/2024,5,6,Wind,311,Wednesday,November,Fall,189
10/28/2021,9,10,Wind,301,Thursday,October,Fall,6796
10/22/2020,12,13,Wind,296,Thursday,October,Fall,5144
3/10/2022,0,1,Wind,69,Thursday,March,Spring,6808
11/3/2021,5,6,Wind,307,Wednesday,November,Fall,3819
12/8/2024,2,3,Wind,343,Sunday,December,Winter,16670
6/3/2020,5,6,Wind,155,Wednesday,June,Summer,631
6/27/2020,11,12,Wind,179,Saturday,June,Summer,9506
6/4/2021,3,4,Wind,155,Friday,June,Summer,1527
11/17/2020,22,23,Wind,322,Tuesday,November,Fall,2667
10/21/2021,8,9,Wind,294,Thursday,October,Fall,11321
8/19/2021,23,0,Wind,231,Thursday,August,Summer,940
6/4/2020,23,0,Wind,156,Thursday,June,Summer,2918
8/14/2023,11,12,Solar,226,Monday,August,Summer,7955
5/13/2024,3,4,Wind,134,Monday,May,Spring,2321
8/11/2024,16,17,Solar,224,Sunday,August,Summer,5870
5/4/2021,7,8,Wind,124,Tuesday,May,Spring,13322
4/26/2025,11,12,Solar,116,Saturday,April,Spring,4018
1/21/2020,18,19,Wind,21,Tuesday,January,Winter,3303
11/2/2021,19,20,Wind,306,Tuesday,November,Fall,2311
7/29/2023,1,2,Wind,210,Saturday,July,Summer,3618
5/21/2023,8,9,Wind,141,Sunday,May,Spring,4686
2/7/2025,18,19,Wind,38,Friday,February,Winter,9119
7/25/2022,11,12,Wind,206,Monday,July,Summer,10186
10/16/2024,16,17,Wind,290,Wednesday,October,Fall,11196
1/11/2022,18,19,Wind,11,Tuesday,January,Winter,2621
4/19/2024,2,3,Wind,110,Friday,April,Spring,6475
7/28/2024,23,0,Wind,210,Sunday,July,Summer,6281
4/5/2025,18,19,Wind,95,Saturday,April,Spring,8043
1/4/2022,20,21,Wind,4,Tuesday,January,Winter,9372
7/6/2023,4,5,Wind,187,Thursday,July,Summer,1028
3/22/2024,23,0,Wind,82,Friday,March,Spring,7326
1/16/2024,9,10,Wind,16,Tuesday,January,Winter,2207
5/8/2024,20,21,Wind,129,Wednesday,May,Spring,3372
1/26/2025,19,20,Wind,26,Sunday,January,Winter,19633
7/20/2020,7,8,Wind,202,Monday,July,Summer,3155
3/2/2024,1,2,Wind,62,Saturday,March,Spring,11147
5/17/2021,13,14,Wind,137,Monday,May,Spring,15419
9/22/2024,4,5,Wind,266,Sunday,September,Fall,3577
7/18/2021,3,4,Wind,199,Sunday,July,Summer,5140
3/20/2020,15,16,Wind,80,Friday,March,Spring,7700
4/14/2025,23,0,Wind,104,Monday,April,Spring,5469
2/19/2020,7,8,Wind,50,Wednesday,February,Winter,7659
11/21/2021,4,5,Wind,325,Sunday,November,Fall,556
10/25/2023,10,11,Wind,298,Wednesday,October,Fall,10951
7/16/2023,19,20,Wind,197,Sunday,July,Summer,5612
7/22/2020,12,13,Solar,204,Wednesday,July,Summer,3790
3/8/2024,1,2,Wind,68,Friday,March,Spring,10506
12/10/2020,14,15,Wind,345,Thursday,December,Winter,3341
6/19/2022,8,9,Wind,170,Sunday,June,Summer,7096
10/23/2024,20,21,Wind,297,Wednesday,October,Fall,5480
6/11/2024,23,0,Wind,163,Tuesday,June,Summer,2863
9/9/2021,5,6,Wind,252,Thursday,September,Fall,1689
6/11/2020,15,16,Wind,163,Thursday,June,Summer,5051
6/7/2024,4,5,Wind,159,Friday,June,Summer,1976
3/26/2024,23,0,Wind,86,Tuesday,March,Spring,8226
2/9/2022,9,10,Wind,40,Wednesday,February,Winter,4407
2/15/2025,20,21,Wind,46,Saturday,February,Winter,5334
4/28/2021,6,7,Wind,118,Wednesday,April,Spring,857
8/27/2020,11,12,Solar,240,Thursday,August,Summer,4553
10/1/2024,7,8,Wind,275,Tuesday,October,Fall,6398
5/21/2021,0,1,Wind,141,Friday,May,Spring,9704
12/5/2021,22,23,Wind,339,Sunday,December,Winter,4707
8/1/2022,14,15,Solar,213,Monday,August,Summer,6729
9/18/2022,23,0,Wind,261,Sunday,September,Fall,4648
1/14/2025,4,5,Wind,14,Tuesday,January,Winter,2738
1/4/2025,9,10,Wind,4,Saturday,January,Winter,4819
8/23/2020,20,21,Wind,236,Sunday,August,Summer,3074
12/11/2022,11,12,Solar,345,Sunday,December,Winter,4059
7/5/2024,2,3,Wind,187,Friday,July,Summer,3591
7/12/2021,10,11,Wind,193,Monday,July,Summer,3055
12/4/2022,18,19,Wind,338,Sunday,December,Winter,1267
9/29/2023,15,16,Wind,272,Friday,September,Fall,10069
10/6/2024,10,11,Wind,280,Sunday,October,Fall,7982
2/27/2023,20,21,Wind,58,Monday,February,Winter,11622
6/6/2021,7,8,Wind,157,Sunday,June,Summer,2047
4/6/2022,17,18,Wind,96,Wednesday,April,Spring,13616
1/29/2025,14,15,Wind,29,Wednesday,January,Winter,13601
10/30/2024,21,22,Wind,304,Wednesday,October,Fall,3374
6/14/2024,18,19,Wind,166,Friday,June,Summer,11508
2/5/2024,19,20,Wind,36,Monday,February,Winter,7217
11/16/2020,2,3,Wind,321,Monday,November,Fall,9712
11/3/2025,12,13,Wind,307,Monday,November,Fall,14275
5/28/2023,22,23,Wind,148,Sunday,May,Spring,9225
1/24/2020,22,23,Wind,24,Friday,January,Winter,628
2/4/2022,5,6,Wind,35,Friday,February,Winter,6025
1/2/2020,18,19,Wind,2,Thursday,January,Winter,5346
8/30/2022,0,1,Wind,242,Tuesday,August,Summer,5425
11/29/2025,0,1,Wind,333,Saturday,November,Fall,5241
5/14/2025,10,11,Solar,134,Wednesday,May,Spring,7025
12/25/2024,2,3,Wind,360,Wednesday,December,Winter,1698
9/16/2024,11,12,Solar,260,Monday,September,Fall,8063
6/13/2020,2,3,Wind,165,Saturday,June,Summer,3116
5/26/2025,10,11,Solar,146,Monday,May,Spring,10578
1/29/2022,9,10,Wind,29,Saturday,January,Winter,8062
8/29/2021,7,8,Wind,241,Sunday,August,Summer,3373
8/17/2023,4,5,Wind,229,Thursday,August,Summer,2138
11/1/2021,16,17,Wind,305,Monday,November,Fall,6650
4/27/2025,13,14,Solar,117,Sunday,April,Spring,4171
3/25/2020,20,21,Wind,85,Wednesday,March,Spring,7278
11/13/2025,13,14,Wind,317,Thursday,November,Fall,10055
10/29/2022,9,10,Wind,302,Saturday,October,Fall,8680
5/12/2025,3,4,Wind,132,Monday,May,Spring,2071
12/26/2021,18,19,Wind,360,Sunday,December,Winter,2979
11/27/2022,5,6,Wind,331,Sunday,November,Fall,6949
6/10/2025,19,20,Wind,161,Tuesday,June,Summer,4337
1/14/2020,11,12,Wind,14,Tuesday,January,Winter,13956
4/19/2025,14,15,Wind,109,Saturday,April,Spring,4692
10/16/2022,4,5,Wind,289,Sunday,October,Fall,3203
11/8/2025,12,13,Solar,312,Saturday,November,Fall,5483
6/3/2023,0,1,Wind,154,Saturday,June,Summer,7045
12/21/2022,4,5,Wind,355,Wednesday,December,Winter,5289
8/15/2022,6,7,Wind,227,Monday,August,Summer,2354
6/14/2025,21,22,Wind,165,Saturday,June,Summer,2617
11/11/2021,19,20,Wind,315,Thursday,November,Fall,904
4/2/2024,19,20,Wind,93,Tuesday,April,Spring,9355
12/3/2024,0,1,Wind,338,Tuesday,December,Winter,6322
8/18/2021,10,11,Solar,230,Wednesday,August,Summer,4153
2/18/2022,0,1,Wind,49,Friday,February,Winter,6361
6/15/2020,9,10,Solar,167,Monday,June,Summer,3227
6/6/2020,3,4,Wind,158,Saturday,June,Summer,5774
10/31/2022,6,7,Wind,304,Monday,October,Fall,3071
8/2/2023,18,19,Wind,214,Wednesday,August,Summer,18182
6/8/2023,6,7,Wind,159,Thursday,June,Summer,4578
4/21/2024,15,16,Wind,112,Sunday,April,Spring,10808
11/2/2025,9,10,Wind,306,Sunday,November,Fall,11230
1/11/2023,22,23,Wind,11,Wednesday,January,Winter,15390
3/19/2020,11,12,Solar,79,Thursday,March,Spring,3951
8/17/2025,8,9,Wind,229,Sunday,August,Summer,6183
8/7/2020,6,7,Wind,220,Friday,August,Summer,2021
11/22/2025,9,10,Wind,326,Saturday,November,Fall,8243
9/4/2025,5,6,Wind,247,Thursday,September,Fall,6876
7/22/2020,10,11,Solar,204,Wednesday,July,Summer,2606
4/26/2021,3,4,Wind,116,Monday,April,Spring,9366
8/19/2021,4,5,Wind,231,Thursday,August,Summer,1485
10/25/2022,14,15,Solar,298,Tuesday,October,Fall,5213
4/6/2020,9,10,Wind,97,Monday,April,Spring,6188
7/8/2023,15,16,Solar,189,Saturday,July,Summer,8194
5/10/2020,10,11,Wind,131,Sunday,May,Spring,2276
1/17/2020,1,2,Wind,17,Friday,January,Winter,9434
1/10/2024,9,10,Wind,10,Wednesday,January,Winter,2524
3/29/2022,14,15,Solar,88,Tuesday,March,Spring,4278
12/7/2022,14,15,Solar,341,Wednesday,December,Winter,3789
6/6/2024,1,2,Wind,158,Thursday,June,Summer,1268
1/30/2020,6,7,Wind,30,Thursday,January,Winter,6684
8/18/2020,9,10,Solar,231,Tuesday,August,Summer,1797
12/12/2024,7,8,Wind,347,Thursday,December,Winter,3380
4/4/2022,23,0,Wind,94,Monday,April,Spring,8520
10/13/2025,4,5,Wind,286,Monday,October,Fall,6073
6/18/2024,4,5,Wind,170,Tuesday,June,Summer,2793
5/10/2022,6,7,Wind,130,Tuesday,May,Spring,2478
4/26/2023,15,16,Solar,116,Wednesday,April,Spring,4624
6/16/2021,2,3,Wind,167,Wednesday,June,Summer,1499
9/3/2021,6,7,Wind,246,Friday,September,Fall,2094
4/7/2025,3,4,Wind,97,Monday,April,Spring,6184
7/21/2020,8,9,Wind,203,Tuesday,July,Summer,3014
5/12/2022,10,11,Solar,132,Thursday,May,Spring,4025
12/22/2022,11,12,Wind,356,Thursday,December,Winter,13135
10/8/2024,22,23,Wind,282,Tuesday,October,Fall,13096
6/13/2021,5,6,Wind,164,Sunday,June,Summer,2592
3/9/2021,22,23,Wind,68,Tuesday,March,Spring,2083
1/3/2022,17,18,Wind,3,Monday,January,Winter,8634
2/15/2025,21,22,Wind,46,Saturday,February,Winter,5507
12/3/2021,13,14,Wind,337,Friday,December,Winter,13277
5/7/2021,8,9,Wind,127,Friday,May,Spring,3061
6/27/2025,2,3,Wind,178,Friday,June,Summer,3511
2/1/2020,11,12,Wind,32,Saturday,February,Winter,11252
7/1/2020,20,21,Wind,183,Wednesday,July,Summer,4054
5/1/2023,20,21,Wind,121,Monday,May,Spring,3856
7/8/2025,18,19,Solar,189,Tuesday,July,Summer,8997
2/18/2021,20,21,Wind,49,Thursday,February,Winter,6214
11/28/2022,13,14,Wind,332,Monday,November,Fall,5047
7/1/2021,17,18,Solar,182,Thursday,July,Summer,3901
11/15/2023,20,21,Wind,319,Wednesday,November,Fall,4554
1/14/2021,10,11,Wind,14,Thursday,January,Winter,8411
5/27/2020,11,12,Solar,148,Wednesday,May,Spring,5832
4/16/2020,21,22,Wind,107,Thursday,April,Spring,1491
6/29/2020,16,17,Wind,181,Monday,June,Summer,10010
4/2/2024,6,7,Wind,93,Tuesday,April,Spring,13175
5/8/2022,1,2,Wind,128,Sunday,May,Spring,4285
12/29/2023,15,16,Wind,363,Friday,December,Winter,13922
3/15/2024,3,4,Wind,75,Friday,March,Spring,10445
6/7/2021,6,7,Wind,158,Monday,June,Summer,1268
3/31/2020,17,18,Wind,91,Tuesday,March,Spring,10262
9/13/2021,1,2,Wind,256,Monday,September,Fall,2586
1/16/2023,14,15,Wind,16,Monday,January,Winter,16385
2/1/2021,20,21,Wind,32,Monday,February,Winter,3405
9/13/2022,5,6,Wind,256,Tuesday,September,Fall,1654
7/29/2023,15,16,Wind,210,Saturday,July,Summer,11966
8/9/2020,16,17,Solar,222,Sunday,August,Summer,3364
9/23/2021,1,2,Wind,266,Thursday,September,Fall,1404
3/18/2021,9,10,Wind,77,Thursday,March,Spring,4597
1/13/2024,0,1,Wind,13,Saturday,January,Winter,2503
6/27/2023,6,7,Wind,178,Tuesday,June,Summer,2239
12/15/2023,0,1,Wind,349,Friday,December,Winter,2968
6/12/2023,19,20,Wind,163,Monday,June,Summer,3168
12/14/2020,6,7,Wind,349,Monday,December,Winter,8437
5/4/2023,13,14,Solar,124,Thursday,May,Spring,11275
1/6/2022,11,12,Solar,6,Thursday,January,Winter,5010
5/5/2023,6,7,Wind,125,Friday,May,Spring,2188
3/24/2021,19,20,Wind,83,Wednesday,March,Spring,2191
11/6/2020,5,6,Wind,311,Friday,November,Fall,6584
10/13/2025,0,1,Wind,286,Monday,October,Fall,7395
4/9/2025,22,23,Wind,99,Wednesday,April,Spring,11401
